Title Name,Language,Type,Rating,IMDb,Cover Image Path
Haikyu!!,TV,Japanese,TV-14,8.7/10,images\AAAABdgyf4IFrw6DYjqYYmPyVw2UxwjHOXQWF4S7_NGE5ejbInlacwEb5BBNZ-JUXTFb1XD_3byX6_rLFVD62U0GrX7BZ3hb.jpg
Haikyu!! Movie 3: Genius and Sense,Movie,Japanese,TV-14,,images\haikyumovie3geniusandsense.jpeg
Haikyu!! Movie 4: Battle of Concepts,Movie,Japanese,TV-PG,,images\haikyumovie4battleofconcepts.jpeg
Hajime no Ippo: The Fighting!,TV,Japanese,TV-MA,,images\hajimenoippothefighting.jpeg
Hell's Paradise: Jigokuraku,TV,Japanese,TV-MA,,images\hellsparadisejigokuraku.jpeg
Her Blue Sky,Movie,Japanese,TV-PG,,images\herbluesky.jpeg
HERO MASK,TV,Japanese,TV-14,6.2/10,images\AAAABagi95V2evaWIptzGNIYKsRjU7ehGHyqSdxz9gWTO2tE85OZTP1cLbDQWHF4DVZqM0ZQBNeh_iPxMjml2CDLeo64EpMY-5nhmugO3Ffq2D4tZEVsja3c0otPG-VAO_DXoJ8.jpg
Hi Score Girl,TV,Japanese,TV-14,8.1/10,images\AAAABdBOwBsnZXy6NdPTWKejxsk5zhD-Frccsrve0t8dhs_n7ukMPKu_bV0MuEE43eCsLI-psY2Zz0I_Cc047RmSHRa4evadZpagfHByWLkw8_q8D-Q_JNBhNx8UX8Elp40rpFfnaCske8DBs7vG9JS2EmQnltYbqiQ.jpg
High-Rise Invasion,TV,Japanese,TV-MA,,images\highriseinvasion.jpeg
Hunter X Hunter (2011),TV,Japanese,TV-MA,8.9/10,images\AAAABSMief6ONaqOZ7WsH65puVliaDoBBprbr-pGuPUBVBntr7H-7Eh2RwSWi45RApQkZ8jg5DXk0M3X-_VDZuGj5BNbsKiD.jpg
Hunter x Hunter: Phantom Rouge,Movie,Japanese,TV-14,,images\hunterxhunterphantomrouge.jpeg
Hunter x Hunter: The Last Mission,Movie,Japanese,TV-14,,images\hunterxhunterthelastmission.jpeg
ID-0,TV,Japanese,TV-PG,6.0/10,
Ingress: The Animation,TV,English,TV-MA,6.5/10,images\AAAABYaNmMFef5sRnXHt7um6rojiWD6LUyMWKgiywSBIUA-XfiSpeUlG-eMf-CBDy4UZOXs26NeCnl-7vuDVAVk_YmKsw7sfTXdfGA.jpg
Inu-Oh,Movie,Japanese,PG-13,,images\inuoh.jpeg
InuYasha,TV,Japanese,TV-14,7.9/10,
Inuyasha: The Final Act,TV,English,TV-14,,images\inuyashathefinalact.jpeg
Japan Sinks: 2020,TV,Japanese,TV-MA,,images\AAAABXcWTfTWQRIpQkR-FO3CIPKJHW5AhRLz5xx2qpjxYf9FUV2Se7ppxIrTJ2yh-ko8goskl2HAuJq3cpnDCBn8kRE76SfZIZRrvbtRoB0dmgLpf2ztGmqpqfDDOxSu5Q.jpg
Jujutsu Kaisen,TV,Japanese,TV-MA,,images\jujutsukaisen.jpeg
Jujutsu Kaisen 0: The Movie,Movie,Japanese,PG-13,,images\jujutsukaisen0themovie.jpeg
Junji Ito Maniac: Japanese Tales of the Macabre,TV,Japanese,TV-MA,,images\junjiitomaniacjapanesetalesofthemacabre.jpeg
K-On!,TV,Japanese,TV-PG,7.6/10,images\AAAABZXVXAHaTWjZGPvl_HH1kwxKXOmDoVnozchcpb5fGX-7b0-ZB7qfCaKXQd6PDlVfj3dtNcYzoWQb-HVN_UzuRe8-AX09.jpg
K-on! the movie,Movie,Japanese,TV-PG,7.6/10,images\AAAABUdlNKrS5i4KNAnN77HEJ0H62mL5NDhJ1haNGFXTzDASfPyv2Kb5bPpc6g1RaiLG6GJEPLBqKpqXf4I5g9Ze3NGeMOqV.jpg
Kabaneri of the Iron Fortress: The Battle of Unato,TV,Japanese,TV-MA,,images\AAAABdF8DArVUdqebpNTxly-OtcIcWRgxgZ7pocG8oQAKFidqro1aE4TAxVwgcn7v-f_Sr3PL-_8OlAbFB7c3V3LHyd-6TEk2DIgwuvrbPVpQbwl-Yagtbv7y1C-aDsnvQ.jpg
Kakegurui,TV,Japanese,TV-MA,7.2/10,images\AAAABUnoTac8C-Y5uxeF4nOnNg-_9dj7JpHvyeve6qdZbXjdiBrqZCRvgKX9l74HbxQXK1EeRkD61h5nPdSgpysOscqkgVHBYZCOwuIVWua0CvzNXL7kKhlZ4iMeETM2xzzd6vk.jpg
Kakegurui,TV,Japanese,TV-14,,images\AAAABRPsUXDg_2Q_qw8RyoMDaEomYJvu4SCYakgpxn0Rso02jScttVvM5N8VuHAcaAAl7RBkA_PgeBl5LV_gIqm0eX9Gchq_J3PhGj_gXo106lSKPIgI20eSpPqVauYBn3hEoZ4k3HZO1MTnSETqDo5_iQ.jpg
KAKEGURUI TWIN,TV,Japanese,TV-14,,images\kakeguruitwin.jpeg
Kantaro: The Sweet Tooth Salaryman,TV,Japanese,TV-PG,7.6/10,
KENGAN ASHURA,TV,English,TV-MA,8.0/10,images\AAAABRTsXmD0_WULKjgqtU6ipdDXnhM3G5BN9gwxE6j7y6MJ46lVEPoy_n3g_5mt9_CWTVFmvH0RvFa4RwL7iwzdhcP9Mh1gwe0uYtvhddHPHPw4xpHpPK25ozuwWTxk44UHPDs5kfU3rtwcXxUHM92kDNph8JP81jo.jpg
Kinnikuman Perfect Origin Arc,TV,Japanese,TV-14,,images\kinnikumanperfectoriginarc.jpeg
Komi Can't Communicate,TV,Japanese,TV-G,,images\komicantcommunicate.jpeg
KonoSuba: God's Blessing on This Wonderful World,TV,Japanese,TV-14,,images\konosubagodsblessingonthiswonderfulworld.jpeg
Kotaro Lives Alone,TV,Japanese,TV-14,,images\kotarolivesalone.jpeg
Kuroko's Basketball,TV,Japanese,TV-MA,,images\kurokosbasketball.jpeg
Kuroko's Basketball: Last Game,Movie,Japanese,TV-14,,images\kurokosbasketballlastgame.jpeg
Kuromukuro,TV,Japanese,TV-14,7.2/10,
LAST HOPE,TV,Japanese,TV-14,5.8/10,
Levius,TV,Japanese,TV-14,7.0/10,images\AAAABaIGc_DQvFn07HILdd_kSOcq5ZYQjRnewpb0iAO3216dZ3mzrLcabm8a8nnOnI2ut_Tp_gp0F27GNkTiuOMZzDQREvECEtvAq_RjQw4NcmVuksC4sWLzwhX7SmhKzQ.jpg
Little Witch Academia,TV,Japanese,TV-Y7,7.9/10,
Lookism,TV,Korean,TV-MA,,images\lookism.jpeg
LOST SONG,TV,Japanese,TV-14,7.1/10,
Love and Fortune,TV,Japanese,TV-MA,7.5/10,
maboroshi,Movie,Japanese,TV-14,,images\maboroshi.jpeg
Magi,TV,Japanese,TV-14,7.9/10,images\AAAABXtW5yI51borp5bOekotl5nQ04HiSUFIR-03P52RhhN52EPlJGgEf9zEL8DEoelPhQOT-BS_GZo-1qn6DDRn7LPAmMgDt63B7A.jpg
MAKE MY DAY,TV,English,TV-MA,,images\makemyday.jpeg
Mary and The Witch's Flower,Movie,Japanese,PG,6.8/10,
Miniforce: Super Dino Power,TV,Korean,TV-Y7,,images\miniforcesuperdinopower.jpeg
Mob Psycho 100,TV,Japanese,TV-MA,8.5/10,
Mob Psycho 100,TV,Japanese,TV-14,,images\mobpsycho100.jpeg
Mobile Suit Gundam Hathaway,Movie,Japanese,TV-14,,images\mobilesuitgundamhathaway.jpeg
Mobile Suit Gundam Seed,TV,Japanese,TV-MA,,images\mobilesuitgundamseed.jpeg
Mobile Suit Gundam Seed Destiny,TV,Japanese,TV-14,,images\mobilesuitgundamseeddestiny.jpeg
Mobile Suit Gundam: Iron-Blooded Orphans,TV,Japanese,TV-14,,images\AAAABRs_zKBfjmQgxh_GNEhYHrEYh2V_DWcUlBkZR6DEdXGRqppjfXfy82Ql9O8OQWlWwlU-qR9k5gRMEXfIN5DEvvpA3Abg.jpg
Modest Heroes: Ponoc Short Films Theatre,Movie,Japanese,PG,0,images\AAAABfTaRqOEoSWUVlRfbuoA5cX95Os--QDTmfT8841124aKOHPs5G2e6PRX0WGgJuI0igjrCu9d7EBWg05J65WEj0uQ4CNJ.jpg
Mononoke,TV,Japanese,TV-MA,,images\mononoke.jpeg
Mononoke The Movie: The Phantom in the Rain,Movie,Japanese,TV-14,,images\mononokethemoviethephantomintherain.jpeg
Monster,TV,Japanese,TV-14,,images\monster.jpeg
Monster Hunter: Legends of the Guild,Movie,English,TV-PG,,images\monsterhunterlegendsoftheguild.jpeg
Monsters 103 Mercies Dragon Damnation,TV,Japanese,TV-MA,,images\monsters103merciesdragondamnation.jpeg
My Happy Marriage,TV,Japanese,TV-14,,images\myhappymarriage.jpeg
My Hero Academia,TV,Japanese,TV-14,,images\myheroacademia.jpeg
My Hero Academia: Heroes Rising,Movie,Japanese,PG-13,,images\myheroacademiaheroesrising.jpeg
My Hero Academia: Two Heroes,Movie,Japanese,PG-13,,images\myheroacademiatwoheroes.jpeg
My Oni Girl,Movie,Japanese,TV-PG,,images\myonigirl.jpeg
Naruto,TV,Japanese,TV-14,8.3/10,images\AAAABUsuJAhrY_O2wzX0YUuwOaWLp1Ee7D6O4oWe1spXrVKWGNywIhz6I9g5mitrlu1dh7Jw0dVzsZG3agmi_F1T4mMOxjYAhmhB4g.jpg
Neon Genesis Evangelion,TV,Japanese,TV-MA,8.5/10,images\AAAABeFb0Qm5VH1G15QmxZYUts96oFb3hNMZd1ZvuyYg1_iMk66gHdcWxxVslaOkyjBJuLy-QPnDMVevf7vOi8mlZCTj2w18dhzsQg.jpg
